,name,descriptions,status,release_year,genres,slug,image_url,total_episodes,episode_links,episode_i_frame_array
0,.Hack//G.U. Returner,"hack//G.U. Returner is a single-episode OVA offered to fans who completed all three GU Games, featuring characters from the .hack//G.U. Games and .hack//Roots.",Completed Anime,Anime in 2007,Genre: Adventure Drama Game Harem Martial Arts Seinen,hackgu-returner,https://gogocdn.net/images/anime/5745.jpg,.Hack//G.U. Returner Episode 1,https://animeseries.so/watch/hackgu-returner-episode-1.html,"['//gogoplay.io/streaming.php?id=NDA3OTI=&title=.Hack%2F%2FG.U.+Returner+episode+1&typesub=SUB', '//gogoplay.io/embedplus?id=NDA3OTI=&token=xn7JwA0tFOAZ_dk3nyVhaA&expires=1641617125', 'https://sbplay2.com/e/env0jxmpf678', 'https://hydrax.net/watch?v=ZzJf3-Ua0', 'https://fembed-hd.com/v/8ylw3u8ld72r-4r', 'https://www.mp4upload.com/embed-e5t1flv0otkb.html', 'https://www.yourupload.com/embed/5U8C888IAc4w', 'https://dood.ws/e/pkjocerv9ic3']"
1,.hack//G.U. Trilogy,"Based on the CyberConnect2 HIT GAME, now will be released in a CG Movie! The Movie will be placed in the storyline of each .hack//G.U. games trilogy. The story follows Haseo, a player in the online MMORPG called The World:R2 at first depicted as a PKK (Player Killer Killer) known as the ""Terror of Death"", a former member of the disbanded Twilight Brigade guild. Haseo encounters Azure Kite (believing him to be Tri-Edge and blaming him for what happened to Shino) but is hopelessly outmatched. Azure Kite easily defeats Haseo and Data Drains him, reducing his level from 133 to 1 and leaving him without any items, weapons, or member addresses. He is left with a mystery on his hands as to the nature of the Data Drain and why Azure Kite is in possession of such a skill. Eventually Haseo gains the ""Avatar"" of Skeith. Acquiring the ability to call Skeith and wield his abilities, such as Data Drain. With Skeith as his strength, Haseo begins the quest for a way to save Shino. He is seen seeking out a PK (Player Killer) known as Tri-Edge, whose victims supposedly are unable to return to The World after he PKs them. Haseo's friend, Shino, was attacked six months prior to the events of the game by Tri-Edge, and the player herself, Shino Nanao, was left in a coma.",Completed Anime,Anime in 2008,Genre: Action Game Harem Seinen,hackgu-trilogy,https://gogocdn.net/images/Trilogy.jpg,.hack//G.U. Trilogy Episode 1,https://animeseries.so/watch/hackgu-trilogy-episode-1.html,"['//gogoplay.io/streaming.php?id=NDI4MjY=&title=.hack%2F%2FG.U.+Trilogy+episode+1&typesub=SUB', '//gogoplay.io/embedplus?id=NDI4MjY=&token=-72Mycj2NhXzxEIRX7l-Mw&expires=1641617128', 'https://sbplay2.com/e/j5qsbi15346a', 'https://hydrax.net/watch?v=TJGgWhdh5', 'https://fembed-hd.com/v/6qnmjc0147xnkqq', 'https://www.mp4upload.com/embed-prpe1m1elj3b.html', 'https://www.yourupload.com/embed/l6uNyrr27xPw', 'https://dood.ws/e/3evajdziarj5']"
2,.hack//Gift,"As an expression of gratitude for the heroes of both the "".hack//Sign"" and the "".hack"" game series, Helba has prepared a special event for all the characters to find the newly established ""Twilight Hot Springs."" The characters can get their well deserved rest and relaxation by having a soak in the wonderful hot springs, but there is only one problem—the hot springs are hidden and there have been mysterious player murders. With the only clue being the word “GIFT,"" the race has begun to find the culprit and the location of the hot springs.",Completed Anime,Anime in 2003,Genre: Comedy Fantasy Game,hackgift,https://gogocdn.net/cover/hackgift.png,.hack//Gift Episode 1,https://animeseries.so/watch/hackgift-episode-1.html,"['//gogoplay.io/streaming.php?id=MTUxNzY5&title=.hack%2F%2FGift+episode+1&typesub=SUB', '//gogoplay.io/embedplus?id=MTUxNzY5&token=wpfdKB3cw1kiNUXdawgffw&expires=1641617130', 'https://sbplay2.com/e/htvsxj5h5h67', 'https://fembed-hd.com/v/gqj0db-er078l3w', 'https://www.mp4upload.com/embed-jyjftuqgzgdh.html', 'https://dood.ws/e/vxqwjlqzvv0m']"
3,.hack//Legend of the Twilight,.hack//Legend of the Twilight,Completed Anime,Anime in 2003,Genre: Adventure Comedy Fantasy Sci-Fi Shounen,hacklegend-of-the-twilight,https://gogocdn.net/images/anime/hacklegend-of-the-twilight2.jpg,.hack//Legend of the Twilight Episode 12,https://animeseries.so/watch/hacklegend-of-the-twilight-episode-12.html,"['//gogoplay.io/streaming.php?id=NDkwNw==&title=.hack%2F%2FLegend+of+the+Twilight+episode+12&typesub=SUB', '//gogoplay.io/embedplus?id=NDkwNw==&token=6rGksIFGGf1PSj4MJ9zs0A&expires=1641617132', 'https://sbplay2.com/e/nklh3j0nwir1', 'https://hydrax.net/watch?v=U_ojzB7POvk', 'https://fembed-hd.com/v/zdp-5sj6k0--z7r', 'https://www.mp4upload.com/embed-33t7qi0mwpmn.html', 'https://www.yourupload.com/embed/moAVhdC0nBC0', 'https://dood.ws/e/bbjxjcwz1pme']"
4,.hack//Liminality,"The story follows three girls, Mai Minase, Yuki Aihara, and Kyoko Tohno, and a former CC Corp. director of the Japanese version of The World, Junichiro Tokuoka. They investigate as to why several people have fallen into a coma while playing the game. The amine starts with the collapse of Mai and her boyfriend, (Tomonari Kasumi). It is soon revealed that she heard a certain sound (which is also present at important points in .hack//Sign) shortly before collapsing. She later wakes up to the same sound, the sound that tunes. “A In C Minor”. Through the knowledge of all the the characters, the constantly search for the answer to why there have been so many victims due to “The World”. Will they be able to battle something that doesn’t even exist in the real world? Genre: Action/Science Fiction",Completed Anime,Anime in 2002,Genre: Mystery Sci-Fi,hackliminality,https://gogocdn.net/images/anime/A/hackliminality.jpg,.hack//Liminality Episode 4,https://animeseries.so/watch/hackliminality-episode-4.html,"['//gogoplay.io/streaming.php?id=NDk1MQ==&title=.hack%2F%2FLiminality+episode+4&typesub=SUB', '//gogoplay.io/embedplus?id=NDk1MQ==&token=3P0QLQlC80JgjnOItjKzTg&expires=1641617135', 'https://sbplay2.com/e/92jb4syetqrm', 'https://hydrax.net/watch?v=YJoSNQohCl', 'https://fembed-hd.com/v/jn3wxhdegp5dqeg', 'https://www.mp4upload.com/embed-jst806s6822g.html', 'https://www.yourupload.com/embed/0NvCt6qKTR2J', 'https://dood.ws/e/8xin8fxfv0i8']"
5,.hack//Liminality (Dub),"While playing the newly released MMORPG ""The World,"" Minase Mai and Tomonari Kasumi collapsed in the real world and were sent to the hospital after hearing a mysterious sound. Only Mai had recovered while her friend Kasumi had slipped into a mysterious coma. Mai is later approached by the creator of ""The World,"" Tokuoka Junichiro, who unveils to her that, just like her friend, six other players across the country had also collapsed while playing ""The World"" and are now in mysterious comas. What exactly is ""The World,"" what is this mysterious sound Mai keeps on hearing, and why are people slipping into comas from this game? Minase, Junichiro and their acquaintances set off to get to the bottom of this problem before any further harm happens.",Completed Anime,Anime in 2002,Genre: Game Mystery Sci-Fi,hackliminality-dub,https://gogocdn.net/cover/hackliminality-dub.png,.hack//Liminality (Dub) Episode 4,https://animeseries.so/watch/hackliminality-dub-episode-4.html,"['//gogoplay.io/streaming.php?id=MTYzMDU4&title=.hack%2F%2FLiminality+%28Dub%29+episode+4&typesub=DUB', '//gogoplay.io/embedplus?id=MTYzMDU4&token=F_xSDroySLeWDvQrdn4peA&expires=1641617137', 'https://sbplay2.com/e/7vt25sqwdvba', 'https://fembed-hd.com/v/kyjk1s310nj-e74', 'https://mixdrop.co/e/gn1v689xhwd33d1', 'https://dood.ws/e/ww5mkyclfqc5']"
6,.hack//Quantum,"Plot Summary: Tobias, Mary, and Sakuya challenge the impregnable “The One Sin”, but they lose their way in the maze and unintentionally trap other guild members. A mysterious cat is watching their blunde",Completed Anime,Anime in 2011,Genre: Action Adventure Fantasy Sci-Fi,hackquantum-,https://gogocdn.net/images/anime/A/hackquantum.jpg,.hack//Quantum Episode 3,https://animeseries.so/watch/hackquantum--episode-3.html,"['//gogoplay.io/streaming.php?id=NDk2NQ==&title=.hack%2F%2FQuantum++episode+3&typesub=SUB', '//gogoplay.io/embedplus?id=NDk2NQ==&token=mku_MfYdZJwPdQp0lfDsEw&expires=1641617139', 'https://sbplay2.com/e/pu3pda2blj8r', 'https://hydrax.net/watch?v=PqNFDGqhK', 'https://fembed-hd.com/v/nd27xs2mjlke1rd', 'https://www.mp4upload.com/embed-hjv2y8uophdg.html', 'https://www.yourupload.com/embed/m4xYTq5T4bJw', 'https://dood.ws/e/k16pvt9i4k1n']"
7,.hack//Roots,"hack//Roots is the prequel to the .hack// videogames. It follows the story of Haseo a member of the Twilight Brigade guild. In the year 2015 the C.C. Corp’s building was burned down, and with it most of the data for “The World” was lost. By mixing the remaining data with that of another game, the C.C. Corp was able to create the game, “The World: R2?, unlike the games before this game allowed player versus player combat. The anime starts when Haseo logs into The World R:2 for the first time and falls victim to the PKers that reside within. He is saved by Ovan, which prompts him to join the Twilight Brigade. The Twilight Brigade members are on a mission to find the Key of the Twilight, however, the TAN guild opposes. Their current mission is to find the 6 virus cores before TAN does, and Haseo has 2 of them, how will he escape from the TAN Guild, and find the Key of Twilight, which might be the answer to everything. Genre: Action/Fantasy",Completed Anime,Anime in 2006,Genre: Adventure Drama Fantasy Game Sci-Fi,hackroots,https://gogocdn.net/images/anime/A/hackroots.jpg,.hack//Roots Episode 26,https://animeseries.so/watch/hackroots-episode-26.html,"['//gogoplay.io/streaming.php?id=NTA3Mg==&title=.hack%2F%2FRoots+episode+26&typesub=SUB', '//gogoplay.io/embedplus?id=NTA3Mg==&token=CY54zeWZM3p9aqDw4GuHcA&expires=1641617140', 'https://sbplay2.com/e/97txw3ywuisq', 'https://hydrax.net/watch?v=dx05NbhSn', 'https://fembed-hd.com/v/nd27xs2mx8qjy2j', 'https://www.mp4upload.com/embed-tpo199fwkq69.html', 'https://www.yourupload.com/embed/FX63RfMRYT1I', 'https://dood.ws/e/v9rz0l8nu8in']"
8,.hack//Roots (Dub),"After the destruction of ""The World"" in 2015, CC Corporation rebuilt the game using data from what was previously to be another game. ""The World R:2"" was then released in 2016. A newcomer to the game, Haseo, is instantly PKed and then revived by a mysterious man known as Ovan. With the problem of PKs occupying the game, Haseo soon after receives help from a female Harvest known as Shino. Amidst curiosity and confusion, Haseo is lead to joining the guild known as the Twilight Brigade. The guild that searches for the legendary object known as the ""Key of the Twilight"". Set before the .hack//G.U. game.",Completed Anime,Anime in 2006,Genre: Adventure Drama Fantasy Game Sci-Fi,hackroots-dub,https://gogocdn.net/cover/hackroots-dub.jpg,.hack//Roots (Dub) Episode 26,https://animeseries.so/watch/hackroots-dub-episode-26.html,"['//gogoplay.io/streaming.php?id=NzMwMDA=&title=.hack%2F%2FRoots+%28Dub%29+episode+26&typesub=DUB', '//gogoplay.io/embedplus?id=NzMwMDA=&token=XCVn-ezXoMKBh4c7Z6Z6dQ&expires=1641617142', 'https://sbplay2.com/e/cbmj8g011ndd', 'https://hydrax.net/watch?v=41I-8rdzs', 'https://fembed-hd.com/v/p1nrxtm1y8gjm-6', 'https://www.mp4upload.com/embed-xcg9xozq3r39.html', 'https://www.yourupload.com/embed/4B14CaQ5Dqg7', 'https://dood.ws/e/a4rnu1wribm4']"
9,.Hack//Sign,"Taking place 2 years after the “Pluto’s Kiss” crisis. “The World” once again returns. This time being the only PC game in existence. Tsubasa a boy who started playing only a few weeks before, finds himself taken to a mysterious zone, where he meets Aura, Morganna, and a mysterious player that has the appearance of a cat. Soon after realizing that he can’t logout, he is forced to stay in “The World”, but unlike other characters he can still feel pain, he still has his emotions. He slowly separates himself from those who try to help him, the only ones that can help him. His friends Bear and Black Rose, constantly try to comfort him in his struggle, but he always pushes them away. He only wants to search for the answer to why he can’t logout, and to the real question of who he really is. Genre: Adventure/Mystery/Fantasy",Completed Anime,Anime in 2002,Genre: Adventure Fantasy Magic Mystery Sci-Fi,hacksign,https://gogocdn.net/images/anime/A/hacksign.jpg,.Hack//Sign Episode 28,https://animeseries.so/watch/hacksign-episode-28.html,"['//gogoplay.io/streaming.php?id=NTMyNg==&title=.Hack%2F%2FSign+episode+28&typesub=SUB', '//gogoplay.io/embedplus?id=NTMyNg==&token=65f_FbSBmyFkrUVzL6iTuw&expires=1641617151', 'https://sbplay2.com/e/rb51yoh7i1uq', 'https://hydrax.net/watch?v=dTn9eNU6r', 'https://fembed-hd.com/v/rqndxce-glznzz0', 'https://www.mp4upload.com/embed-3ga87w7sclu1.html', 'https://www.yourupload.com/embed/r5185JC8p5Vv', 'https://dood.ws/e/gecnf9jarz94']"
